message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,A verified business is sending an update that matches the user's recent activity.,0.90,message_0243;message_0102;message_0101
msg_091,digest,personal,"The message is safe and potentially useful, but low priority for this user.",0.83,message_0238;message_0381;message_0320
msg_090,digest,personal,The message is from a familiar sender but does not need immediate attention.,0.78,none
msg_048,mute,scam,"The message asks for credentials, payment, or verification in a way that matches known scam patterns.",0.85,message_0151;message_0152;message_0237
msg_040,digest,forward,"The message is safe and potentially useful, but low priority for this user.",0.83,message_0136;message_0135;message_0259
msg_075,notify,business_update,A verified business is sending an update that matches the user's recent activity.,0.89,message_0205;message_0206;message_0294
msg_005,mute,personal,The user consistently ignores messages of this kind from this sender.,0.81,message_0065;message_0049;message_0401
msg_104,digest,personal,"The message is safe and potentially useful, but low priority for this user.",0.81,message_0224;message_0050;message_0383
msg_069,mute,greeting,The message is a routine social greeting with no action required.,0.84,message_0042;message_0177;message_0193
msg_107,notify,personal,The message is time-sensitive and comes from a sender this user engages with.,0.87,message_0056;message_0235;message_0369
msg_070,mute,scam,"The message asks for credentials, payment, or verification in a way that matches known scam patterns.",0.85,message_0369;message_0195;message_0213
msg_003,notify,business_update,A verified business is sending an update that matches the user's recent activity.,0.88,message_0031;message_0400;message_0061
msg_099,notify,personal,The message is time-sensitive and comes from a sender this user engages with.,0.87,message_0227;message_0249;message_0055
msg_008,digest,personal,"The message is useful but arrived inside the user's quiet hours, so it is batched instead of interrupting.",0.82,message_0296;message_0072;message_0071
msg_092,notify,payment,A verified business is sending an update that matches the user's recent activity.,0.86,message_0346;message_0344
msg_060,digest,promotion,The message is promotional but matches a business the user has engaged with.,0.82,message_0284;message_0176;message_0404
msg_004,notify,business_update,A verified business is sending an update that matches the user's recent activity.,0.89,message_0005;message_0245;message_0246
msg_030,mute,forward,The message is a widely forwarded chain message with low personal relevance.,0.86,message_0115;message_0335;message_0050
msg_045,digest,personal,"The message is safe and potentially useful, but low priority for this user.",0.80,message_0146;message_0145;message_0061
msg_052,mute,scam,"The sender is using a domain that does not match the official brand domain, which indicates an impersonation attempt.",0.85,message_0207;message_0159;message_0208
msg_009,mute,personal,The user consistently ignores messages of this kind from this sender.,0.84,message_0074;message_0073
msg_071,digest,personal,"The message is safe and potentially useful, but low priority for this user.",0.84,message_0197;message_0198
msg_016,mute,scam,"The message asks for credentials, payment, or verification in a way that matches known scam patterns.",0.85,message_0024;message_0087;message_0088
msg_065,notify,promotion,A verified business is sending an update that matches the user's recent activity.,0.87,message_0261;message_0260;message_0185
msg_038,digest,forward,"The message is safe and potentially useful, but low priority for this user.",0.84,message_0131;message_0132;message_0009
msg_086,notify,promotion,A verified business is sending an update that matches the user's recent activity.,0.86,message_0222
msg_014,mute,promotion,The sender behaves like a bulk broadcaster and this user has no active relationship with the account.,0.85,message_0017;message_0018;message_0258
msg_094,notify,promotion,A verified business is sending an update that matches the user's recent activity.,0.86,message_0356;message_0048;message_0357
msg_029,mute,forward,The message is a widely forwarded chain message with low personal relevance.,0.84,message_0113;message_0095;message_0332
msg_105,mute,forward,The message is a widely forwarded chain message with low personal relevance.,0.81,message_0233;message_0373;message_0122
msg_002,notify,personal,The sender directly asks this user for a response or action.,0.88,message_0003;message_0266;message_0041
msg_010,notify,personal,A verified business is sending an update that matches the user's recent activity.,0.88,message_0011;message_0242;message_0075
msg_078,mute,urgent,The user consistently ignores messages of this kind from this sender.,0.82,message_0211;message_0212;message_0163
msg_013,digest,promotion,The message is promotional but matches a business the user has engaged with.,0.83,message_0081;message_0082
msg_018,digest,promotion,The message is promotional but matches a business the user has engaged with.,0.80,message_0026;message_0091;message_0092
msg_044,mute,scam,"The message asks for credentials, payment, or verification in a way that matches known scam patterns.",0.85,message_0143;message_0144;message_0036
msg_032,digest,personal,"The message is safe and potentially useful, but low priority for this user.",0.82,message_0119;message_0285;message_0120
